15:01:24 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( , anst007, 1, 0, 2021-01-07, 12, 13, 0, , gine001,  ) => {inserted_id = 18536}
15:01:24 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( , anst007, 1, 0, 2021-01-08, 12, 13, 0, , gine001,  ) => {inserted_id = 18537}
15:01:24 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( , anst007, 1, 0, 2021-01-09, 12, 13, 0, , gine001,  ) => {inserted_id = 18538}
15:01:24 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( , anst007, 1, 0, 2021-01-10, 12, 13, 0, , gine001,  ) => {inserted_id = 18539}
15:01:24 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( , anst007, 1, 0, 2021-01-11, 12, 13, 0, , gine001,  ) => {inserted_id = 18540}
15:01:24 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( , anst007, 1, 0, 2021-01-12, 12, 13, 0, , gine001,  ) => {inserted_id = 18541}
15:01:24 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( , anst007, 1, 0, 2021-01-13, 12, 13, 0, , gine001,  ) => {inserted_id = 18542}
15:01:24 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( , anst007, 1, 0, 2021-01-14, 12, 13, 0, , gine001,  ) => {inserted_id = 18543}
15:01:24 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( , anst007, 1, 0, 2021-01-15, 12, 13, 0, , gine001,  ) => {inserted_id = 18544}
15:01:24 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( , anst007, 1, 0, 2021-01-16, 12, 13, 0, , gine001,  ) => {inserted_id = 18545}
15:01:24 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( , anst007, 1, 0, 2021-01-17, 12, 13, 0, , gine001,  ) => {inserted_id = 18546}
15:01:24 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( , anst007, 1, 0, 2021-01-18, 12, 13, 0, , gine001,  ) => {inserted_id = 18547}
15:01:24 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( , anst007, 1, 0, 2021-01-19, 12, 13, 0, , gine001,  ) => {inserted_id = 18548}
15:01:24 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( , anst007, 1, 0, 2021-01-20, 12, 13, 0, , gine001,  ) => {inserted_id = 18549}
15:01:24 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( , anst007, 1, 0, 2021-01-21, 12, 13, 0, , gine001,  ) => {inserted_id = 18550}
15:01:24 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( , anst007, 1, 0, 2021-01-22, 12, 13, 0, , gine001,  ) => {inserted_id = 18551}
15:01:24 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( , anst007, 1, 0, 2021-01-23, 12, 13, 0, , gine001,  ) => {inserted_id = 18552}
15:01:24 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( , anst007, 1, 0, 2021-01-24, 12, 13, 0, , gine001,  ) => {inserted_id = 18553}
15:03:21 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( , anst007, 1, 0, 2020-11-02, 13, 15, 0, , gine001,  ) => {inserted_id = 18554}
15:03:21 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( , anst007, 1, 0, 2020-11-03, 13, 15, 0, , gine001,  ) => {inserted_id = 18555}
15:03:21 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( , anst007, 1, 0, 2020-11-04, 13, 15, 0, , gine001,  ) => {inserted_id = 18556}
15:03:21 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( , anst007, 1, 0, 2020-11-05, 13, 15, 0, , gine001,  ) => {inserted_id = 18557}
15:03:21 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( , anst007, 1, 0, 2020-11-06, 13, 15, 0, , gine001,  ) => {inserted_id = 18558}
15:03:21 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( , anst007, 1, 0, 2020-11-07, 13, 15, 0, , gine001,  ) => {inserted_id = 18559}
15:03:21 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( , anst007, 1, 0, 2020-11-08, 13, 15, 0, , gine001,  ) => {inserted_id = 18560}
15:04:16 gine001 Gilad Nevo UPDATING data to tables `timetable` fields ( customer, employee, date, time_from, time_to, fkkn, type, status, comment ) values (anst007, boek001, 2020-11-04, 13.00, 15.00, 1, 0, 1, ) on conditions id = 18556
